,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
18195,New Zealand,Bangladesh,Pallekele,113,36,9,8.071428571428571,44.0,191
5952,Bangladesh,Australia,Mirpur,93,43,8,7.246753246753247,42.0,153
1014,Australia,England,Adelaide,139,13,6,7.794392523364486,39.0,157
32520,South Africa,Pakistan,Johannesburg,76,68,9,8.76923076923077,36.0,153
24638,Pakistan,Bangladesh,Mirpur,84,51,7,7.304347826086956,31.0,190
31832,South Africa,New Zealand,Barbados,46,86,9,8.117647058823529,41.0,170
20832,New Zealand,Pakistan,Wellington,56,86,10,9.882352941176473,50.0,196
25260,Pakistan,England,Dubai,58,76,9,7.909090909090909,32.0,144
33446,South Africa,Sri Lanka,Johannesburg,198,0,8,9.9,63.0,198
16160,India,Sri Lanka,Colombo,71,67,8,8.037735849056604,49.0,174
42680,West Indies,Pakistan,Trinidad,86,25,3,5.431578947368421,27.0,124
25487,Pakistan,England,Manchester,94,55,8,8.676923076923076,47.0,190
31779,South Africa,New Zealand,Auckland,137,23,4,8.474226804123711,38.0,165
22465,New Zealand,Sri Lanka,Wellington,156,6,3,8.210526315789474,25.0,162
12910,India,Australia,Colombo,122,14,4,6.90566037735849,37.0,140
42756,West Indies,South Africa,Johannesburg,88,67,10,9.962264150943396,46.0,205
8547,England,Australia,Cardiff,170,9,6,9.18918918918919,57.0,182
38131,Sri Lanka,South Africa,Chittagong,80,66,8,8.88888888888889,38.0,165
39014,West Indies,Afghanistan,St Kitts,105,34,7,7.325581395348837,30.0,112
19670,New Zealand,India,Hamilton,177,20,7,10.62,59.0,212
42857,West Indies,South Africa,Johannesburg,179,21,7,10.848484848484848,48.0,205
5222,Australia,Sri Lanka,Perth,44,55,5,4.061538461538461,18.0,133
27938,Pakistan,South Africa,Nottingham,137,12,6,7.611111111111111,38.0,149
38685,Sri Lanka,West Indies,Nottingham,74,79,10,10.829268292682928,51.0,192
17881,New Zealand,Bangladesh,Mirpur,83,65,9,9.054545454545456,35.0,204
4758,Australia,Sri Lanka,Adelaide,149,22,8,9.122448979591836,46.0,187
1759,Australia,England,Sydney,152,13,4,8.523364485981308,35.0,195
2958,Australia,New Zealand,Perth,90,48,7,7.5,35.0,186
27022,Pakistan,New Zealand,Mount Maunganui,66,65,8,7.2,35.0,181
42004,West Indies,New Zealand,Wellington,91,38,6,6.658536585365853,28.0,159
7187,Bangladesh,Sri Lanka,Chittagong,101,17,3,5.883495145631068,31.0,120
31336,South Africa,India,Johannesburg,59,58,6,5.709677419354839,28.0,126
2202,Australia,India,Melbourne,101,23,3,6.247422680412371,38.0,132
309,Afghanistan,Sri Lanka,Kolkata,51,54,6,4.636363636363637,14.0,153
22471,New Zealand,Sri Lanka,Wellington,162,0,2,8.1,29.0,162
37427,Sri Lanka,Pakistan,Hambantota,130,0,3,6.5,53.0,132
21454,New Zealand,South Africa,Johannesburg,90,28,4,5.869565217391305,22.0,129
34956,Sri Lanka,Bangladesh,Johannesburg,139,5,5,7.252173913043478,45.0,147
30527,South Africa,England,Cape Town,90,43,7,7.012987012987013,29.0,191
32324,South Africa,Pakistan,Cape Town,110,52,9,9.705882352941176,59.0,192
15160,India,New Zealand,Wellington,144,10,2,7.8545454545454545,43.0,165
336,Afghanistan,Sri Lanka,Kolkata,96,28,6,6.260869565217392,46.0,153
36503,Sri Lanka,New Zealand,Chittagong,42,79,7,6.146341463414634,22.0,119
24676,Pakistan,Bangladesh,Mirpur,55,41,6,4.177215189873418,27.0,129
10276,England,Pakistan,Abu Dhabi,54,69,8,6.352941176470588,28.0,129
39122,West Indies,Australia,Brisbane,45,82,9,7.105263157894737,34.0,191
28920,Pakistan,West Indies,Trinidad,86,32,6,5.863636363636363,39.0,132
21363,New Zealand,South Africa,Hamilton,130,23,7,8.041237113402062,36.0,173
37441,Sri Lanka,Pakistan,Lahore,40,88,7,7.5,36.0,147
21560,New Zealand,Sri Lanka,Auckland,108,23,4,6.680412371134021,46.0,179
16091,India,South Africa,St Lucia,100,40,8,7.5,50.0,186
35896,Sri Lanka,India,Colombo,107,41,6,8.126582278481013,34.0,170
30892,South Africa,England,Chittagong,76,64,10,8.142857142857142,40.0,196
648,Afghanistan,West Indies,Nagpur,116,5,3,6.052173913043478,49.0,123
6841,Bangladesh,Pakistan,Lahore,92,39,9,6.814814814814815,36.0,141
31879,South Africa,New Zealand,Barbados,97,39,7,7.185185185185185,39.0,170
33227,South Africa,Sri Lanka,Hambantota,125,15,5,7.142857142857143,45.0,145
1928,Australia,India,Brisbane,96,43,7,7.48051948051948,33.0,158
4577,Australia,South Africa,Melbourne,140,36,6,10.0,47.0,182
7444,Bangladesh,Sri Lanka,Dhaka,107,50,7,9.17142857142857,28.0,193
12271,England,West Indies,Kolkata,36,80,7,5.4,28.0,155
31429,South Africa,India,Johannesburg,114,11,4,6.275229357798165,38.0,126
6916,Bangladesh,Pakistan,Lahore,130,3,4,6.666666666666667,43.0,136
33817,South Africa,West Indies,London,165,11,4,9.082568807339449,51.0,183
10102,England,New Zealand,Manchester,95,53,7,8.507462686567164,34.0,191
23551,Pakistan,Australia,Dubai,87,47,9,7.1506849315068495,30.0,147
21834,New Zealand,Sri Lanka,Johannesburg,116,32,5,7.909090909090909,37.0,164
17399,New Zealand,Australia,Auckland,167,35,8,11.788235294117648,71.0,243
38998,West Indies,Afghanistan,St Kitts,80,50,8,6.857142857142857,18.0,112
18607,New Zealand,England,Hamilton,124,36,8,8.857142857142858,48.0,192
28531,Pakistan,West Indies,Dubai,44,78,9,6.285714285714286,40.0,160
33980,Sri Lanka,Australia,Brisbane,89,36,4,6.357142857142857,35.0,117
32910,South Africa,Sri Lanka,Colombo,49,81,7,7.538461538461538,35.0,98
5121,Australia,Sri Lanka,Pallekele,102,62,9,10.551724137931034,45.0,263
36883,Sri Lanka,Pakistan,Abu Dhabi,120,25,6,7.578947368421052,26.0,141
6216,Bangladesh,India,Mirpur,27,84,7,4.5,14.0,138
3250,Australia,Pakistan,Dubai,61,74,7,7.956521739130435,35.0,108
30088,South Africa,Australia,Sydney,98,45,8,7.84,37.0,145
23052,Pakistan,Australia,Abu Dhabi,130,21,7,7.878787878787879,43.0,155
33382,South Africa,Sri Lanka,Johannesburg,91,32,3,6.204545454545454,24.0,113
41794,West Indies,New Zealand,Lauderhill,117,28,7,7.630434782608695,33.0,177
42910,West Indies,Sri Lanka,Colombo,14,87,9,2.5454545454545454,14.0,137
19578,New Zealand,India,Auckland,195,5,5,10.173913043478262,65.0,203
3514,Australia,Pakistan,Harare,108,50,9,9.257142857142858,42.0,183
27069,Pakistan,New Zealand,Mount Maunganui,130,19,6,7.722772277227722,37.0,181
33042,South Africa,Sri Lanka,Colombo,102,12,6,5.666666666666667,42.0,115
8282,England,Australia,Birmingham,73,82,10,11.526315789473683,59.0,221
21439,New Zealand,South Africa,Johannesburg,79,43,5,6.155844155844156,25.0,129
29155,South Africa,Afghanistan,Mumbai,173,16,7,9.98076923076923,68.0,209
21087,New Zealand,South Africa,Durban,68,69,9,8.0,43.0,153
33371,South Africa,Sri Lanka,Johannesburg,116,37,9,8.385542168674698,57.0,198
20277,New Zealand,Pakistan,Dubai,36,89,10,6.967741935483871,36.0,144
36465,Sri Lanka,New Zealand,Auckland,110,16,2,6.346153846153846,48.0,115
14793,India,New Zealand,Delhi,174,12,8,9.666666666666666,60.0,202
15524,India,South Africa,Cape Town,120,34,7,8.372093023255815,42.0,172
11054,England,Pakistan,Manchester,125,25,4,7.894736842105263,32.0,131
6304,Bangladesh,India,Mirpur,83,40,5,6.225,36.0,138
10672,England,Pakistan,Dubai,111,35,6,7.835294117647058,47.0,172
872,Australia,Bangladesh,Barbados,53,61,6,5.389830508474576,23.0,141
20182,New Zealand,Pakistan,Chandigarh,55,85,10,9.428571428571429,54.0,180
4652,Australia,Sri Lanka,Adelaide,71,74,10,9.26086956521739,46.0,187
9156,England,Australia,Southampton,119,20,6,7.14,40.0,145
16436,India,Sri Lanka,Pune,64,83,10,10.37837837837838,55.0,201
32436,South Africa,Pakistan,Colombo,76,34,6,5.3023255813953485,35.0,133
40978,West Indies,India,Barbados,141,17,8,8.21359223300971,60.0,169
31145,South Africa,England,Southampton,94,28,7,6.130434782608695,29.0,142
30838,South Africa,England,Centurion,195,11,6,10.73394495412844,55.0,222
2493,Australia,India,Sydney,56,80,9,8.4,42.0,186
16826,India,West Indies,London,51,64,7,5.464285714285714,22.0,153
43140,West Indies,Sri Lanka,Pallekele,71,42,8,5.461538461538462,33.0,129
9029,England,Australia,Southampton,74,62,8,7.655172413793103,26.0,162
36586,Sri Lanka,New Zealand,Nottingham,47,87,8,8.545454545454545,43.0,158
19950,New Zealand,India,Rajkot,149,27,8,9.612903225806452,51.0,196
43093,West Indies,Sri Lanka,Pallekele,16,89,8,3.096774193548387,16.0,129
27196,Pakistan,New Zealand,Wellington,31,80,6,4.65,27.0,105
33613,South Africa,West Indies,Durban,139,23,9,8.597938144329897,38.0,195
26381,Pakistan,New Zealand,Auckland,180,11,8,9.908256880733944,55.0,201
20159,New Zealand,Pakistan,Cape Town,118,14,3,6.679245283018868,35.0,143
30948,South Africa,England,Chittagong,168,11,7,9.247706422018348,52.0,196
5294,Australia,Sri Lanka,Sydney,35,78,8,5.0,27.0,137
38901,West Indies,Afghanistan,Lucknow,100,52,8,8.823529411764707,47.0,164
8648,England,Australia,Chester-le-Street,195,0,5,9.75,57.0,195
7821,Bangladesh,West Indies,Lauderhill,134,31,6,9.03370786516854,36.0,184
6127,Bangladesh,India,Colombo,98,32,6,6.681818181818182,27.0,139
17422,New Zealand,Australia,Auckland,120,24,2,7.5,26.0,150
39343,West Indies,Australia,Colombo,145,25,6,9.157894736842104,49.0,191
6778,Bangladesh,Pakistan,Lahore,54,68,10,6.230769230769231,34.0,141
1732,Australia,England,Sydney,139,27,6,8.96774193548387,45.0,195
39979,West Indies,Bangladesh,Mirpur,87,54,8,7.909090909090909,43.0,197
2335,Australia,India,Mumbai,166,0,5,8.231404958677686,47.0,166
33774,South Africa,West Indies,London,98,54,9,8.909090909090908,44.0,183
10716,England,Pakistan,Dubai,120,25,5,7.578947368421052,30.0,150
26685,Pakistan,New Zealand,Dubai,92,39,9,6.814814814814815,40.0,166
23437,Pakistan,Australia,Dubai,64,75,10,8.533333333333333,49.0,150
29695,South Africa,Australia,Colombo,77,45,6,6.16,29.0,146
36204,Sri Lanka,India,Mumbai,113,12,3,6.277777777777778,26.0,135
22070,New Zealand,Sri Lanka,Mount Maunganui,96,61,10,9.76271186440678,44.0,182
25176,Pakistan,England,Cardiff,135,25,6,8.526315789473685,43.0,173
39962,West Indies,Bangladesh,Mirpur,67,59,8,6.590163934426229,33.0,132
1396,Australia,England,Melbourne,120,16,5,6.923076923076923,34.0,147
4828,Australia,Sri Lanka,Barbados,54,70,6,6.48,27.0,168
38143,Sri Lanka,South Africa,Chittagong,85,55,7,7.846153846153846,33.0,165
26318,Pakistan,New Zealand,Auckland,126,26,6,8.042553191489361,48.0,171
20067,New Zealand,Pakistan,Barbados,118,9,4,6.378378378378378,31.0,133
29094,South Africa,Afghanistan,Mumbai,70,76,9,9.545454545454543,49.0,209
30122,South Africa,Australia,Sydney,133,11,5,7.321100917431193,29.0,145
5678,Australia,West Indies,Mirpur,136,23,5,8.412371134020619,36.0,178
18544,New Zealand,England,Durban,150,8,2,8.035714285714286,52.0,164
25375,Pakistan,England,Dubai,118,19,5,7.00990099009901,42.0,144
7393,Bangladesh,Sri Lanka,Colombo,153,2,4,7.779661016949152,42.0,155
26274,Pakistan,New Zealand,Auckland,90,37,3,6.506024096385542,22.0,143
14693,India,New Zealand,Christchurch,128,17,3,7.456310679611651,31.0,162
12362,England,West Indies,London,53,81,9,8.153846153846153,45.0,161
9561,England,India,Manchester,112,31,5,7.550561797752809,35.0,159
34281,Sri Lanka,Australia,Melbourne,65,53,7,5.82089552238806,27.0,161
41079,West Indies,India,Kolkata,88,11,2,4.844036697247707,32.0,109
30905,South Africa,England,Chittagong,92,52,9,8.117647058823529,38.0,196
24412,Pakistan,Bangladesh,Kolkata,91,58,9,8.806451612903226,42.0,201
41408,West Indies,India,Mirpur,44,63,9,4.631578947368421,26.0,129
37594,Sri Lanka,Pakistan,Lahore,122,38,8,8.926829268292684,48.0,182
11105,England,South Africa,Barbados,72,73,9,9.191489361702128,42.0,168
27292,Pakistan,South Africa,Abu Dhabi,39,86,8,6.882352941176471,25.0,119
38153,Sri Lanka,South Africa,Chittagong,97,45,7,7.76,29.0,165
18198,New Zealand,Bangladesh,Pallekele,120,33,8,8.275862068965518,50.0,191
6796,Bangladesh,Pakistan,Lahore,62,60,10,6.2,29.0,141
10225,England,New Zealand,Napier,158,27,8,10.193548387096774,51.0,241
31825,South Africa,New Zealand,Auckland,165,0,3,8.25,28.0,165
40773,West Indies,England,Nottingham,95,34,7,6.627906976744186,45.0,172
5280,Australia,Sri Lanka,Perth,132,1,3,6.65546218487395,45.0,133
14,Afghanistan,Bangladesh,Dhaka,44,78,6,6.285714285714286,32.0,164
24481,Pakistan,Bangladesh,Mirpur,46,89,9,8.903225806451612,46.0,190
30795,South Africa,England,Centurion,195,30,8,13.0,64.0,241
41350,West Indies,India,Lauderhill,94,8,2,5.035714285714286,30.0,95
34368,Sri Lanka,Australia,Melbourne,134,9,6,7.243243243243243,44.0,161
9672,England,India,Pune,130,16,6,7.5,31.0,157
13237,India,Australia,Mirpur,75,44,6,5.921052631578948,24.0,159
15570,India,South Africa,Centurion,46,83,7,7.45945945945946,46.0,188
1964,Australia,India,Chandigarh,57,86,9,10.058823529411764,53.0,160
30697,South Africa,England,Centurion,82,78,10,11.714285714285714,70.0,241
7282,Bangladesh,Sri Lanka,Colombo,103,56,8,9.65625,37.0,176
26806,Pakistan,New Zealand,Dubai,161,0,2,8.05,45.0,161
11279,England,South Africa,Cape Town,88,37,4,6.36144578313253,19.0,134
3910,Australia,South Africa,Adelaide,117,23,6,7.237113402061856,46.0,144
37957,Sri Lanka,Pakistan,Mirpur,91,47,10,7.47945205479452,40.0,150
5565,Australia,West Indies,London,100,38,6,7.317073170731708,46.0,169
5847,Bangladesh,Australia,Cape Town,72,51,8,6.260869565217392,32.0,123
16104,India,South Africa,St Lucia,119,27,8,7.67741935483871,46.0,186
22906,New Zealand,West Indies,Mount Maunganui,157,34,8,10.953488372093023,79.0,238
33398,South Africa,Sri Lanka,Johannesburg,97,24,3,6.0625,25.0,113
14313,India,England,Kolkata,91,19,2,5.405940594059406,17.0,120
24082,Pakistan,Australia,Perth,81,40,5,6.075,31.0,106
43,Afghanistan,Bangladesh,Dhaka,80,50,6,6.857142857142857,37.0,164
15016,India,New Zealand,Wellington,52,81,7,8.0,37.0,165
5314,Australia,Sri Lanka,Sydney,59,58,7,5.709677419354839,29.0,137
26870,Pakistan,New Zealand,Hamilton,60,60,8,6.0,29.0,168
16811,India,West Indies,London,43,79,7,6.2926829268292686,28.0,153
11772,England,South Africa,Johannesburg,170,9,4,9.18918918918919,41.0,202
3084,Australia,New Zealand,Sydney,129,15,5,7.371428571428571,46.0,150
11409,England,South Africa,Cardiff,180,5,4,9.391304347826088,45.0,181
20524,New Zealand,Pakistan,Dubai,127,9,3,6.864864864864865,45.0,144
42789,West Indies,South Africa,Johannesburg,120,52,10,10.588235294117649,52.0,205
17684,New Zealand,Australia,Wellington,35,77,7,4.883720930232558,28.0,118
32119,South Africa,New Zealand,London,50,74,9,6.521739130434782,34.0,128
33871,South Africa,West Indies,Nagpur,70,52,5,6.176470588235294,29.0,122
25371,Pakistan,England,Dubai,115,21,5,6.96969696969697,40.0,144
15355,India,Pakistan,Durban,126,14,3,7.132075471698113,42.0,141
3189,Australia,Pakistan,Chandigarh,181,5,6,9.443478260869565,57.0,193
27280,Pakistan,South Africa,Abu Dhabi,38,93,9,8.444444444444445,36.0,119
15659,India,South Africa,Colombo,36,86,7,6.352941176470588,28.0,152
28087,Pakistan,Sri Lanka,Colombo,59,71,8,7.224489795918367,45.0,175
23308,Pakistan,Australia,Colombo,70,54,8,6.363636363636363,39.0,149
33326,South Africa,Sri Lanka,Johannesburg,68,59,5,6.688524590163935,35.0,113
19403,New Zealand,India,Auckland,59,61,6,6.0,19.0,158
10895,England,Pakistan,London,152,24,7,9.5,52.0,185
42427,West Indies,Pakistan,Mirpur,38,86,8,6.705882352941177,34.0,166
21163,New Zealand,South Africa,Durban,62,44,2,4.894736842105263,27.0,86
41858,West Indies,New Zealand,Pallekele,45,89,8,8.709677419354838,44.0,139
15209,India,Pakistan,Bangalore,73,63,10,7.684210526315789,42.0,133
16207,India,Sri Lanka,Colombo,142,21,7,8.606060606060606,43.0,174
6999,Bangladesh,Pakistan,Pallekele,140,20,6,8.4,34.0,175
24165,Pakistan,Australia,St Lucia,89,54,9,8.090909090909092,48.0,191
14780,India,New Zealand,Delhi,156,25,10,9.852631578947369,63.0,202
15606,India,South Africa,Centurion,97,48,6,8.083333333333334,44.0,188
21287,New Zealand,South Africa,Durban,150,1,2,7.563025210084033,27.0,151
16358,India,Sri Lanka,Pallekele,78,55,9,7.2,28.0,155
19959,New Zealand,India,Rajkot,173,18,8,10.176470588235292,65.0,196
1157,Australia,England,Hobart,102,60,10,10.2,53.0,213
16256,India,Sri Lanka,Mirpur,53,63,9,5.578947368421052,30.0,130
28964,Pakistan,West Indies,Trinidad,109,11,2,6.0,34.0,132
19895,New Zealand,India,Rajkot,51,79,10,7.463414634146342,36.0,196
7473,Bangladesh,Sri Lanka,Dhaka,155,23,7,9.58762886597938,48.0,193
30355,South Africa,Bangladesh,Mirpur,130,12,6,7.222222222222222,40.0,148
41153,West Indies,India,Lauderhill,105,71,10,12.857142857142858,72.0,245
6281,Bangladesh,India,Mirpur,74,52,7,6.529411764705882,37.0,120
5400,Australia,West Indies,Barbados,74,67,7,8.377358490566039,32.0,97
9103,England,Australia,Southampton,94,38,6,6.878048780487805,38.0,145
397,Afghanistan,West Indies,Lucknow,43,77,8,6.0,34.0,156
26306,Pakistan,New Zealand,Auckland,99,29,4,6.527472527472527,50.0,153
13331,India,Bangladesh,Bangalore,78,49,8,6.591549295774648,33.0,146
5580,Australia,West Indies,London,121,23,5,7.484536082474227,40.0,169
43132,West Indies,Sri Lanka,Pallekele,62,50,8,5.314285714285714,35.0,129
2920,Australia,New Zealand,Perth,46,86,9,8.117647058823529,41.0,186
9190,England,Australia,Southampton,138,9,5,7.45945945945946,44.0,145
435,Afghanistan,West Indies,Lucknow,76,58,7,7.354838709677419,28.0,147
41,Afghanistan,Bangladesh,Dhaka,73,52,6,6.441176470588236,31.0,164
27089,Pakistan,New Zealand,Mount Maunganui,181,0,4,9.05,59.0,181
33573,South Africa,West Indies,Durban,94,62,10,9.724137931034482,47.0,195
34117,Sri Lanka,Australia,Colombo,51,77,7,7.116279069767442,37.0,128
39535,West Indies,Australia,St Lucia,91,23,1,5.628865979381444,23.0,105
26871,Pakistan,New Zealand,Hamilton,66,59,6,6.491803278688525,34.0,163
16983,India,West Indies,Lucknow,172,9,8,9.297297297297296,49.0,195
18451,New Zealand,England,Delhi,150,6,4,7.894736842105263,38.0,153
13212,India,Australia,Mirpur,53,69,7,6.235294117647059,25.0,159
18670,New Zealand,England,London,81,67,9,9.169811320754716,43.0,201
35790,Sri Lanka,India,Colombo,66,75,8,8.8,38.0,152
9461,England,India,London,96,35,7,6.776470588235294,29.0,153
18581,New Zealand,England,Hamilton,84,62,9,8.689655172413794,42.0,192
10554,England,Pakistan,Dubai,72,64,7,7.714285714285714,37.0,150
27112,Pakistan,New Zealand,Pallekele,80,69,9,9.411764705882351,54.0,177
4822,Australia,Sri Lanka,Barbados,45,76,6,6.136363636363637,25.0,168
34615,Sri Lanka,Bangladesh,Chittagong,93,55,6,8.584615384615384,36.0,168
21128,New Zealand,South Africa,Durban,54,56,3,5.0625,31.0,86
34564,Sri Lanka,Australia,Pallekele,178,6,7,9.36842105263158,68.0,198
22093,New Zealand,Sri Lanka,Mount Maunganui,115,38,9,8.414634146341463,32.0,182
10567,England,Pakistan,Dubai,67,61,8,6.813559322033898,31.0,172
6176,Bangladesh,India,Colombo,147,10,3,8.018181818181818,49.0,166
28791,Pakistan,West Indies,Karachi,186,5,5,9.704347826086956,59.0,203
21979,New Zealand,Sri Lanka,Lauderhill,67,37,4,4.843373493975903,28.0,81
5126,Australia,Sri Lanka,Pallekele,118,57,9,11.238095238095235,51.0,263
7661,Bangladesh,West Indies,Dhaka,139,30,6,9.266666666666667,40.0,211
16611,India,Sri Lanka,St Lucia,57,82,9,9.0,47.0,163
30180,South Africa,Bangladesh,Johannesburg,111,45,6,8.88,40.0,118
15309,India,Pakistan,Durban,65,59,6,6.39344262295082,37.0,141
29936,South Africa,Australia,Johannesburg,184,6,7,9.68421052631579,57.0,201
35343,Sri Lanka,England,Pallekele,166,3,4,8.512820512820513,51.0,169
42039,West Indies,New Zealand,Wellington,153,5,5,7.982608695652174,54.0,159
3812,Australia,Pakistan,St Lucia,155,25,8,9.789473684210526,61.0,191
17649,New Zealand,Australia,Sydney,91,20,4,5.46,32.0,117
32802,South Africa,Sri Lanka,Centurion,95,70,7,11.4,53.0,126
30758,South Africa,England,Centurion,157,48,10,13.083333333333334,75.0,241
33380,South Africa,Sri Lanka,Johannesburg,91,33,3,6.275862068965517,25.0,113
35559,Sri Lanka,England,St Lucia,43,72,7,5.375,23.0,128
14122,India,England,Colombo,141,14,7,7.981132075471698,47.0,170
16445,India,Sri Lanka,Pune,43,78,7,6.142857142857143,37.0,101
30903,South Africa,England,Chittagong,90,54,9,8.181818181818182,37.0,196
16093,India,South Africa,St Lucia,102,38,8,7.463414634146342,46.0,186
28810,Pakistan,West Indies,Trinidad,40,87,8,7.272727272727272,36.0,137
32332,South Africa,Pakistan,Cape Town,125,44,9,9.86842105263158,59.0,192
211,Afghanistan,India,St Lucia,52,55,7,4.8,23.0,115
30207,South Africa,Bangladesh,Mirpur,37,84,8,6.166666666666667,34.0,148
8012,Bangladesh,West Indies,St Kitts,120,33,4,8.275862068965518,29.0,143
18578,New Zealand,England,Hamilton,77,65,9,8.4,43.0,192
3692,Australia,Pakistan,Melbourne,74,61,7,7.52542372881356,33.0,127
11674,England,South Africa,Johannesburg,85,56,7,7.96875,38.0,171
28381,Pakistan,Sri Lanka,Johannesburg,116,40,7,8.7,65.0,189
6972,Bangladesh,Pakistan,Pallekele,107,46,8,8.675675675675675,40.0,175
17740,New Zealand,Australia,Wellington,106,21,5,6.424242424242424,50.0,118
9275,England,India,Birmingham,96,36,6,6.857142857142857,32.0,180
15923,India,South Africa,Durban,158,5,5,8.243478260869566,40.0,168
19973,New Zealand,India,Rajkot,189,5,8,9.860869565217392,49.0,196
22381,New Zealand,Sri Lanka,Wellington,65,87,10,11.818181818181818,60.0,162
23158,Pakistan,Australia,Birmingham,87,53,6,7.791044776119403,43.0,167
30703,South Africa,England,Centurion,84,75,10,11.2,59.0,222
36824,Sri Lanka,Pakistan,Abu Dhabi,104,44,7,8.210526315789474,27.0,141
19643,New Zealand,India,Hamilton,124,45,9,9.92,44.0,212
2425,Australia,India,Rajkot,190,6,3,10.0,39.0,201
9919,England,New Zealand,Christchurch,102,47,6,8.383561643835616,31.0,193
4556,Australia,South Africa,Melbourne,104,57,8,9.904761904761903,36.0,182
37033,Sri Lanka,Pakistan,Colombo,78,50,9,6.685714285714286,39.0,139
32545,South Africa,Pakistan,Johannesburg,87,55,8,8.03076923076923,27.0,153
23453,Pakistan,Australia,Dubai,48,71,9,5.877551020408164,23.0,151
15731,India,South Africa,Colombo,122,15,5,6.971428571428572,34.0,152
8799,England,Australia,Melbourne,62,65,7,6.763636363636364,28.0,137
16524,India,Sri Lanka,Pune,72,41,2,5.468354430379747,23.0,101
12672,India,Afghanistan,Colombo,70,57,7,6.666666666666667,36.0,159
12031,England,Sri Lanka,Delhi,91,39,7,6.7407407407407405,39.0,171
20187,New Zealand,Pakistan,Chandigarh,59,80,10,8.85,45.0,180
15613,India,South Africa,Centurion,107,41,6,8.126582278481013,48.0,188
30935,South Africa,England,Chittagong,129,23,7,7.979381443298969,37.0,196
32775,South Africa,Sri Lanka,Centurion,39,83,9,6.324324324324325,32.0,180
35637,Sri Lanka,England,St Lucia,126,1,4,6.352941176470588,38.0,128
10776,England,Pakistan,Dubai,135,10,4,7.363636363636363,35.0,150
36801,Sri Lanka,Pakistan,Abu Dhabi,70,52,9,6.176470588235294,27.0,124
23493,Pakistan,Australia,Dubai,46,61,4,4.677966101694915,16.0,96
32886,South Africa,Sri Lanka,Centurion,175,2,7,8.898305084745763,47.0,180
32342,South Africa,Pakistan,Cape Town,148,35,9,10.447058823529412,68.0,192
26899,Pakistan,New Zealand,Hamilton,80,46,6,6.486486486486487,30.0,163
31120,South Africa,England,Southampton,68,53,7,6.08955223880597,25.0,142
15869,India,South Africa,Durban,96,32,6,6.545454545454546,43.0,153
15443,India,Pakistan,Johannesburg,117,22,6,7.163265306122449,33.0,157
9566,England,India,Manchester,117,26,4,7.468085106382978,23.0,159
3921,Australia,South Africa,Adelaide,127,13,5,7.121495327102804,34.0,144
36399,Sri Lanka,New Zealand,Auckland,61,49,3,5.154929577464789,17.0,115
13841,India,Bangladesh,Nottingham,166,6,6,8.736842105263158,54.0,180
42748,West Indies,South Africa,Johannesburg,41,71,7,5.020408163265306,21.0,131
33656,South Africa,West Indies,Johannesburg,81,75,8,10.8,58.0,231
33033,South Africa,Sri Lanka,Colombo,85,20,6,5.1,31.0,115
5393,Australia,West Indies,Barbados,72,74,9,9.391304347826088,46.0,97
41402,West Indies,India,Mirpur,39,69,9,4.588235294117647,27.0,129
33698,South Africa,West Indies,Johannesburg,159,36,6,11.357142857142858,47.0,231
37423,Sri Lanka,Pakistan,Hambantota,120,4,3,6.206896551724138,50.0,132
27510,Pakistan,South Africa,Cape Town,82,51,8,7.130434782608695,42.0,176
31503,South Africa,India,Mirpur,101,45,8,8.08,49.0,172
21488,New Zealand,Sri Lanka,Auckland,30,89,6,5.806451612903226,28.0,179
2871,Australia,India,Sydney,160,8,7,8.571428571428571,44.0,171
19883,New Zealand,India,Rajkot,41,91,10,8.482758620689655,41.0,196
19668,New Zealand,India,Hamilton,175,22,7,10.714285714285714,61.0,212
19480,New Zealand,India,Auckland,111,36,6,7.928571428571429,55.0,158
14322,India,England,Kolkata,99,10,2,5.4,16.0,120
42499,West Indies,Pakistan,Mirpur,113,17,5,6.58252427184466,38.0,166
27288,Pakistan,South Africa,Abu Dhabi,38,88,8,7.125,25.0,119
39783,West Indies,Bangladesh,Johannesburg,37,79,9,5.414634146341464,24.0,164
14112,India,England,Colombo,119,24,7,7.4375,36.0,170
21555,New Zealand,Sri Lanka,Auckland,105,27,4,6.774193548387097,47.0,179
21613,New Zealand,Sri Lanka,Colombo,54,78,10,7.714285714285714,41.0,170
20629,New Zealand,Pakistan,Hamilton,142,22,6,8.693877551020408,51.0,185
35618,Sri Lanka,England,St Lucia,96,17,5,5.592233009708738,23.0,128
7926,Bangladesh,West Indies,St Kitts,65,72,6,8.125,48.0,143
15346,India,Pakistan,Durban,115,23,4,7.11340206185567,44.0,141
7289,Bangladesh,Sri Lanka,Colombo,108,53,8,9.671641791044776,37.0,176
42858,West Indies,South Africa,Johannesburg,180,20,7,10.8,49.0,205
12509,England,West Indies,Mumbai,114,34,7,7.953488372093023,36.0,182
1708,Australia,England,Sydney,150,39,6,11.11111111111111,49.0,221
27615,Pakistan,South Africa,Centurion,74,68,8,8.538461538461538,35.0,168
20831,New Zealand,Pakistan,Wellington,55,87,10,10.0,50.0,196
30428,South Africa,England,Cape Town,53,75,7,7.066666666666666,30.0,154
38948,West Indies,Afghanistan,Lucknow,150,6,5,7.894736842105263,39.0,164
